what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1394128224331
started,bundle,org.eclipse.osgi,3.9.1.v20130814-1242,"org.eclipse.osgi",1394128224331
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.400.v20130327-2119,"org.eclipse.equinox.simpleconfigurator",1394128224336
started,bundle,com.ibm.icu,50.1.1.v201304230130,"com.ibm.icu",1394128224336
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1394128224336
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1394128224336
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1394128224336
started,bundle,org.eclipse.core.contenttype,3.4.200.v20130326-1255,"org.eclipse.core.contenttype",1394128224341
started,bundle,org.eclipse.core.databinding.observable,1.4.1.v20130515-1857,"org.eclipse.core.databinding.observable",1394128224341
started,bundle,org.eclipse.core.expressions,3.4.500.v20130515-1343,"org.eclipse.core.expressions",1394128224341
started,bundle,org.eclipse.core.filebuffers,3.5.300.v20130225-1821,"org.eclipse.core.filebuffers",1394128224341
started,bundle,org.eclipse.core.filesystem,1.4.0.v20130514-1240,"org.eclipse.core.filesystem",1394128224341
started,bundle,org.eclipse.core.jobs,3.5.300.v20130429-1813,"org.eclipse.core.jobs",1394128224346
started,bundle,org.eclipse.core.net,1.2.200.v20130430-1352,"org.eclipse.core.net",1394128224346
started,bundle,org.eclipse.core.resources,3.8.101.v20130717-0806,"org.eclipse.core.resources",1394128224346
started,bundle,org.eclipse.core.runtime,3.9.0.v20130326-1255,"org.eclipse.core.runtime",1394128224346
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.v20130326-1255,"org.eclipse.core.runtime.compatibility",1394128224346
started,bundle,org.eclipse.e4.core.commands,0.10.2.v20130515-1857,"org.eclipse.e4.core.commands",1394128224351
started,bundle,org.eclipse.e4.core.contexts,1.3.1.v20130905-0905,"org.eclipse.e4.core.contexts",1394128224351
started,bundle,org.eclipse.e4.core.di,1.3.0.v20130514-1256,"org.eclipse.e4.core.di",1394128224351
started,bundle,org.eclipse.e4.core.di.extensions,0.11.100.v20130514-1256,"org.eclipse.e4.core.di.extensions",1394128224351
started,bundle,org.eclipse.e4.core.services,1.1.0.v20130515-1343,"org.eclipse.e4.core.services",1394128224351
started,bundle,org.eclipse.e4.ui.bindings,0.10.101.v20130801-2002,"org.eclipse.e4.ui.bindings",1394128224356
started,bundle,org.eclipse.e4.ui.css.swt,0.11.0.v20130515-1857,"org.eclipse.e4.ui.css.swt",1394128224356
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.9.100.v20130515-1857,"org.eclipse.e4.ui.css.swt.theme",1394128224356
started,bundle,org.eclipse.e4.ui.di,1.0.0.v20130515-1857,"org.eclipse.e4.ui.di",1394128224356
started,bundle,org.eclipse.e4.ui.model.workbench,1.0.1.v20130909-1436,"org.eclipse.e4.ui.model.workbench",1394128224356
started,bundle,org.eclipse.e4.ui.services,1.0.1.v20130909-1436,"org.eclipse.e4.ui.services",1394128224356
started,bundle,org.eclipse.e4.ui.workbench,1.0.1.v20130910-2014,"org.eclipse.e4.ui.workbench",1394128224356
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.0.1.v20130823-1518,"org.eclipse.e4.ui.workbench.addons.swt",1394128224361
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.11.1.v20130812-1345,"org.eclipse.e4.ui.workbench.renderers.swt",1394128224361
started,bundle,org.eclipse.e4.ui.workbench.swt,0.12.1.v20130815-1438,"org.eclipse.e4.ui.workbench.swt",1394128224361
started,bundle,org.eclipse.emf.common,2.9.1.v20130827-0309,"org.eclipse.emf.common",1394128224361
started,bundle,org.eclipse.emf.ecore,2.9.1.v20130827-0309,"org.eclipse.emf.ecore",1394128224361
started,bundle,org.eclipse.emf.ecore.xmi,2.9.1.v20130827-0309,"org.eclipse.emf.ecore.xmi",1394128224361
started,bundle,org.eclipse.equinox.app,1.3.100.v20130327-1442,"org.eclipse.equinox.app",1394128224361
started,bundle,org.eclipse.equinox.common,3.6.200.v20130402-1505,"org.eclipse.equinox.common",1394128224361
started,bundle,org.eclipse.equinox.console,1.0.100.v20130429-0953,"org.eclipse.equinox.console",1394128224361
started,bundle,org.eclipse.equinox.ds,1.4.101.v20130813-1853,"org.eclipse.equinox.ds",1394128224361
started,bundle,org.eclipse.equinox.event,1.3.0.v20130327-1442,"org.eclipse.equinox.event",1394128224361
started,bundle,org.eclipse.equinox.p2.core,2.3.0.v20130327-2119,"org.eclipse.equinox.p2.core",1394128224366
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20130327-2119,"org.eclipse.equinox.p2.directorywatcher",1394128224366
started,bundle,org.eclipse.equinox.p2.engine,2.3.0.v20130526-2122,"org.eclipse.equinox.p2.engine",1394128224366
started,bundle,org.eclipse.equinox.p2.metadata,2.2.0.v20130523-1557,"org.eclipse.equinox.p2.metadata",1394128224366
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.100.v20130327-2119,"org.eclipse.equinox.p2.metadata.repository",1394128224366
started,bundle,org.eclipse.equinox.p2.operations,2.3.0.v20130711-1809,"org.eclipse.equinox.p2.operations",1394128224366
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.200.v20130419-1850,"org.eclipse.equinox.p2.reconciler.dropins",1394128224366
